property_type,wall_type,age,issue_type,orientation,ventilation,window_type,occupancy,drying_clothes,main_issue_location,secondary_issue_locations,filename,cause,property_type_categorised,ventilation_categorised,window_type_categorised,cause_primary,cause_secondary,analysis
ground floor maisonette,cavity,1990 - present,both,not mentioned,"lack of trickle vents, reliance on purge ventilation",not mentioned,not mentioned,not mentioned,"Bedroom 1, Hallway",not mentioned,0069_RG2.pdf,inadequate ventilation and elevated atmospheric moisture,ground floor flat,natural ventilation,not mentioned,poor ventilation,none,"The reported damp and mould issues in the property are primarily caused by inadequate ventilation, particularly in the kitchen and bathroom, which leads to elevated humidity levels and moisture accumulation. Additionally, the lack of proper air circulation due to insufficient door undercuts and reliance on manual operation of extractor fans exacerbates the problem. External factors such as plant growth obstructing vents and the slope of the earth towards the building may also contribute to moisture ingress during rainfall."
ground floor flat,cavity,not mentioned,mould,not mentioned,trickle vents and extraction units,not mentioned,not mentioned,not mentioned,Bedroom 1,Bedroom 2,0039_LU3.pdf,furniture blocking airflow causing cold spots,ground floor flat,extract ventilation,not mentioned,lifestyle factors,none,"The main causes of the damp and mould issues reported in the property include poor ventilation, leading to elevated humidity levels, particularly in the bedrooms and lounge. The presence of furniture against external walls restricts airflow and contributes to cold spots, exacerbating the mould growth. Additionally, the moisture levels in the walls indicate potential structural issues, while the occupancy patterns suggest a moist environment due to inadequate ventilation practices."
ground floor flat,cavity,not mentioned,mould,not mentioned,trickle vents and extraction units,not mentioned,not mentioned,not mentioned,Bedroom 1,Bedroom 2,0162_LU3.pdf,furniture blocking airflow causing cold spots,ground floor flat,extract ventilation,not mentioned,lifestyle factors,none,"The reported damp and mould issues are primarily caused by inadequate ventilation, leading to high internal humidity levels, particularly in the master bedroom and kitchen. The presence of contents against colder exterior walls exacerbates the situation by restricting airflow, which contributes to condensation and mould growth. Additionally, a blocked forced air extraction unit in the bathroom further limits moisture removal, compounding the problem of elevated humidity within the property."
two bedroomed ground floor flat,cavity,not mentioned,both,not mentioned,"background trickle vents, forced extraction devices",not mentioned,not mentioned,yes,Bedroom 2,Bathroom,0012_CR8.pdf,structural dampness from inadequate membrane installation,ground floor flat,extract ventilation,not mentioned,external moisture penetration,none,"The main causes of the reported damp and mould issues in the property include inadequate damp proofing due to missing Marley tiles and compromised damp proof membranes (DPM), which allow moisture to penetrate from the ground. Additionally, poor ventilation, particularly in areas with high humidity such as the bathroom and bedrooms, contributes to condensation on windows and surfaces. The presence of saturated soil around the property and potential bridging of the damp proof course (DPC) by foliage further exacerbates the moisture problems."
two bedroomed ground floor flat,cavity,not mentioned,both,not mentioned,"background trickle vents, forced extraction devices",not mentioned,not mentioned,yes,Bedroom 2,Bathroom,0127_CR8.pdf,structural dampness from inadequate membrane installation,ground floor flat,extract ventilation,not mentioned,external moisture penetration,none,"The reported issues of damp and mould in the property are primarily caused by high atmospheric moisture levels and inadequate ventilation, which lead to excessive condensation. The history of flooding in the property has likely contributed to elevated moisture levels in the structure, while the lack of effective insulation and potential ongoing moisture ingress from the walls further exacerbates the problem. Additionally, the presence of hygroscopic materials within the property can absorb moisture from the atmosphere, creating conditions conducive to mould growth."
end of terrace dwelling,cavity,not mentioned,both,not mentioned,"trickle vent, 100mm pull chord extraction unit",uPVC,3 adults and 2 children,yes,bedroom 1,bedroom 2,0036_LU2.pdf,restricted airflow and elevated atmospheric conditions,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,none,"The reported issues with damp and mould in the property are primarily caused by inadequate ventilation and elevated atmospheric humidity levels, particularly in the bedrooms. The presence of mould on surfaces, such as window frames and walls, indicates that moisture is accumulating, likely due to poor air circulation and the recent addition of cavity wall insulation, which may have altered the moisture dynamics within the structure. Additionally, the cold spots in the loft area contribute to the potential for condensation, further exacerbating the damp conditions."
end of terrace dwelling,cavity,not mentioned,both,not mentioned,"trickle vent, 100mm pull chord extraction unit",uPVC,3 adults and 2 children,yes,bedroom 1,bedroom 2,0161_LU2.pdf,restricted airflow and elevated atmospheric conditions,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,none,"The reported damp and mould issues are primarily caused by inadequate ventilation, particularly in the bathroom and bedroom areas, leading to elevated humidity levels and condensation. Additionally, previous water damage from the removal of the chimney may have compromised the cavity wall insulation, allowing for penetrating dampness. The ineffective operation of the bathroom extractor fan further exacerbates moisture retention, while gaps in seals and air bricks contribute to moisture ingress."
two-bedroom first floor flat,cavity,not mentioned,both,not mentioned,"mechanical extraction units in kitchen and bathroom, passive vent in bedroom 1, trickle vents to all windows except lounge",not mentioned,not mentioned,yes,bathroom,bedroom 1,0080_SO19.pdf,lack of adequate cross ventilation,flat,extract ventilation,not mentioned,poor ventilation,none,"The reported damp and mould issues in the property are primarily caused by inadequate ventilation, which leads to elevated humidity levels, particularly in areas like the bedrooms and bathroom. The presence of furniture and belongings against external walls restricts air circulation, exacerbating the potential for condensation on cooler surfaces. Additionally, the mechanical extraction units in the kitchen and bathroom are underperforming, contributing to insufficient moisture removal from the air."
semi-detached dwelling,cavity,not mentioned,both,not mentioned,bathroom extractor and kitchen pull cord device,not mentioned,not mentioned,not mentioned,ground floor bathroom,"kitchen, hallway",0082_SO31.pdf,moisture migration from exterior to interior,semi-detached/end terrace,extract ventilation,not mentioned,external moisture penetration,none,"The reported damp and mould issues are primarily caused by inadequate ventilation, particularly in the kitchen and bathroom, leading to elevated humidity levels and potential condensation. Additionally, structural deficiencies such as compromised damp proof courses (DPC), defects in pointing, and possible wet bridging due to cavity wall insulation (CWI) contribute to moisture ingress. The presence of draughts from the rear kitchen door and the ineffective operation of extractors further exacerbate the moisture retention within the property."
ground floor flat in a purpose-built block,cavity,early 1970s,both,not mentioned,"extractors, trickle vents",uPVC,not mentioned,yes,bathroom,"lounge, bedroom 1",0068_RG1.pdf,ineffective forced ventilation in key areas,ground floor flat,extract ventilation,uPVC,poor ventilation,none,"The reported damp and mould issues in the property are primarily caused by inadequate ventilation, particularly in the kitchen, which relies on opening windows for airflow, allowing humid air to circulate throughout the flat. Additionally, the presence of retrofitted cavity wall insulation may be contributing to moisture retention within the walls, exacerbating the problem. High relative humidity levels, combined with cooler surface temperatures, create conditions conducive to mould growth, particularly in areas where condensation is likely to occur."
mid-terrace dwelling,cavity,not mentioned,both,not mentioned,"extractors, passive vents, trickle vents",uPVC,2 adults and 3 children,yes,"hall, bedroom 1","kitchen, bathroom",0031_LU1.pdf,atmospheric moisture levels within the property,mid terrace,extract ventilation,uPVC,poor ventilation,none,"The main causes of the reported damp and mould issues are poor ventilation leading to high humidity levels, particularly in the kitchen and hallway, where condensation is prevalent on windows. Additionally, the presence of cold external walls and inadequate heating due to obstructed radiators contribute to the formation of condensation and subsequent mould growth."
modern two-bedroom end of terrace dwelling,cavity,not mentioned,mould,not mentioned,intermittent fan units and trickle vents,not mentioned,not mentioned,not mentioned,lounge,not mentioned,0027_IP25.pdf,elevated humidity and inadequate ventilation,semi-detached/end terrace,extract ventilation,not mentioned,poor ventilation,none,"The main causes of the reported damp and mould issues in the property are inadequate ventilation leading to elevated humidity and condensation, as well as moisture retention in the floor screed due to the bonded underlay and painted surface, which restricts evaporation. Additionally, the intermittent fan units installed do not meet the required flow rates as per building regulations, further contributing to poor air circulation and moisture accumulation."
one-bedroom ground floor flat,cavity,1984,both,not mentioned,"non-functioning extraction device in the bathroom, working unit in the kitchen",not mentioned,not mentioned,not mentioned,"bathroom, kitchen",not mentioned,0010_CR0.pdf,lack of ventilation and high humidity,ground floor flat,extract ventilation,not mentioned,poor ventilation,none,"The reported damp and mould issues are primarily caused by inadequate ventilation, leading to high humidity levels and condensation, particularly in areas like the bathroom and kitchen. Additionally, structural deficiencies such as poor construction methods, lack of air bricks, and potential penetrating damp from external walls contribute to elevated moisture levels within the property. The combination of these factors creates an environment conducive to mould growth."
first floor flat in a purpose-built block,cavity,not mentioned,both,north,"PIV unit, extractor fans, trickle vents",uPVC,not mentioned,yes,bedroom,hallway,0077_SM2.pdf,condensation due to inadequate ventilation,flat,PIV,uPVC,poor ventilation,none,"The reported damp and mould issues in the property are primarily caused by inadequate ventilation, as evidenced by closed trickle vents and ineffective extractor fans, leading to elevated indoor humidity levels. Additionally, the practice of drying laundry indoors contributes to the moisture load, while the presence of cooler surfaces creates conditions conducive to condensation, further exacerbating mould growth."
three-bedroom end of terrace dwelling,cavity,1950s,both,not mentioned,"cooker hood (not in use), trickle vents (closed)",uPVC,3 adults and 1 baby,yes,"hall, kitchen","bathroom, landing",0034_LU1.pdf,moisture penetration through external cracks,semi-detached/end terrace,natural ventilation,uPVC,external moisture penetration,none,"The main causes of the reported damp and mould issues include poor ventilation leading to condensation, particularly in the kitchen, bathroom, and landing areas, where high humidity levels and low surface temperatures were recorded. Additionally, external defects in the rendered walls and inadequate drainage from the corrugated roof are allowing rainwater to bypass the structure, contributing to moisture penetration and exacerbating the damp conditions."
three-bedroom end of terrace dwelling,cavity,1950s,both,not mentioned,"cooker hood (not in use), trickle vents (closed)",uPVC,3 adults and 1 baby,yes,"hall, kitchen","bathroom, landing",0160_LU1.pdf,moisture penetration through external cracks,semi-detached/end terrace,natural ventilation,uPVC,external moisture penetration,none,"The main causes of the reported damp and mould issues in the property are poor ventilation, as evidenced by the closed trickle vents and lack of forced ventilation, leading to high indoor humidity levels. Additionally, the occupancy conditions indicate a moist environment, which, combined with the high relative humidity readings in the bedrooms and lounge, creates an ideal setting for mould growth. The presence of visible water damage and moisture droplets on windows further suggests that moisture ingress and condensation are contributing factors."
semi-detached,solid,1965 – 1990,both,north,"limited ventilation, no trickle vents, reliance on opening windows",uPVC,not mentioned,not mentioned,"Bedroom 1, Bedroom 2",not mentioned,0066_PO8.pdf,inadequate ventilation and elevated humidity,semi-detached/end terrace,natural ventilation,uPVC,poor ventilation,none,"The main causes of the reported damp and mould issues in the property are inadequate ventilation and elevated internal humidity levels. The absence of trickle vents and reliance on window opening for air circulation contribute to moisture retention, while the presence of warm air against cooler wall surfaces leads to condensation. Additionally, the close proximity of furniture to walls restricts air circulation, exacerbating the conditions conducive to mould growth."
end-terraced,cavity,1920 – 1950,mould,east,"mechanical extraction unit in the kitchen, passive wall vent, passive trickle vents",not mentioned,not mentioned,not mentioned,Bedroom 1,not mentioned,0053_ME4.pdf,elevated humidity and inadequate ventilation,semi-detached/end terrace,extract ventilation,not mentioned,poor ventilation,none,"The reported damp and mould issues are primarily caused by inadequate ventilation, as evidenced by closed trickle vents and reliance on occupants to open windows, leading to elevated humidity levels. Additionally, localized condensation is likely occurring due to colder wall surfaces, particularly at the top of the stairs and in bedrooms, where warm moist air comes into contact with these surfaces. The combination of high relative humidity and insufficient air circulation creates an environment conducive to mould growth."
semi-detached dwelling,cavity,1950,both,not mentioned,"forced ventilation in kitchen and bathroom, passive ventilation with trickle vents",uPVC,not mentioned,yes,kitchen and lounge,"daughters bedroom, sons bedroom, landing",0028_KT7.pdf,ventilation issues and rising damp,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,rising damp,"The reported issues of damp and mould growth in the property are primarily caused by inadequate ventilation, leading to elevated humidity levels and condensation, particularly in areas like the kitchen and lounge. Additionally, the absence of a damp proof membrane in the concrete floor slab, due to the property's construction date, allows ground moisture to migrate upwards, contributing to the damp conditions. The presence of a raised patio may have also bridged the damp proof course, exacerbating moisture ingress into the walls."
ground floor one bedroom flat,cavity,not mentioned,both,not mentioned,"trickle vents, passive vents",not mentioned,not mentioned,yes,lounge,kitchen,0038_LU3.pdf,lack of ventilation and inadequate heating,ground floor flat,natural ventilation,not mentioned,poor ventilation,insufficient heating,"The reported damp and mould issues in the property are primarily caused by poor ventilation and inadequate drainage from the balcony above, leading to condensation and moisture accumulation. Additionally, structural defects in the external brickwork allow for weather ingress, which further contributes to elevated moisture levels within the walls and ceilings, exacerbating the damp conditions."
one bedroom ground floor dwelling,cavity,pre-date 1965,mould,not mentioned,"mechanical extraction units in kitchen and bathroom, passive trickle vents",not mentioned,not mentioned,yes,bedroom,wardrobes,0035_LU2.pdf,inadequate ventilation during elevated humidity,ground floor flat,extract ventilation,not mentioned,poor ventilation,none,"The reported mould issues are primarily caused by inadequate ventilation and high humidity levels within the property, particularly in the bedroom where warm moist air comes into contact with colder surfaces, leading to condensation. Additionally, the presence of draughts at the rear door and insufficient performance of the bathroom and kitchen extraction units contribute to the accumulation of moisture in the air. The drying of clothes indoors further exacerbates the internal moisture load, creating an environment conducive to mould growth."
terraced two-bedroom ground floor flat,cavity,not mentioned,both,not mentioned,"extraction unit in kitchen, passive ventilation unit in Bedroom 1, trickle vents",not mentioned,not mentioned,not mentioned,"lounge, bedroom 1",not mentioned,0032_LU1.pdf,lack of adequate ventilation,ground floor flat,extract ventilation,not mentioned,poor ventilation,none,"The reported damp and mould issues in the property are primarily caused by inadequate ventilation, as evidenced by the broken passive vent in Bedroom 1 and the ineffective kitchen extraction unit that does not allow for proper air circulation. Additionally, the presence of furniture against external walls may be contributing to moisture retention, while the tenant's actions, such as taping over the environment unit, further exacerbate the lack of airflow and increase humidity levels within the flat."
two-bedroom ground floor flat,cavity,circa 2018,both,not mentioned,"PIV unit, bathroom and kitchen extractors",not mentioned,not mentioned,yes,bathroom,kitchen,0022_GU24.pdf,long-term leak from bathroom seat fixings,ground floor flat,PIV,not mentioned,internal leaks/plumbing,none,"The main causes of the reported damp and mould issues in the property are inadequate ventilation and poor insulation. The presence of dirty and inefficient extractor fans in the kitchen and bathroom, along with closed trickle vents, restricts the expulsion of moist air, leading to condensation. Additionally, uneven loft insulation contributes to colder surface temperatures, which further promotes condensation and mould growth, particularly in areas where warm moist air cannot circulate effectively."
modernised detached 3 bedroomed dwelling,not mentioned,not mentioned,both,not mentioned,"extractors, trickle vents",not mentioned,not mentioned,not mentioned,lounge,bathroom,0067_PO8.pdf,structural related issues causing water ingress,detached,extract ventilation,not mentioned,external moisture penetration,none,"The main causes of the reported damp and mould issues appear to be inadequate ventilation, particularly in the kitchen and bathroom, leading to moisture accumulation. Additionally, high moisture levels in various structural elements suggest potential water ingress from external sources, possibly due to compromised cavity wall insulation and insufficient drainage or damp proofing measures. The presence of cooler structural elements during warmer periods indicates thermal bridging, which can exacerbate condensation problems."
upper floor flat in a purpose-built block,solid,late 1930s,mould,not mentioned,"extractor fans in bathroom and kitchen, trickle vents",uPVC,not mentioned,yes,lounge,not mentioned,0094_W12.pdf,elevated internal atmospheric moisture levels,flat,extract ventilation,uPVC,poor ventilation,none,"The main causes of the reported mould issues in the property are poor ventilation and elevated atmospheric moisture levels, particularly due to closed trickle vents and ineffective extractor fans. Additionally, the presence of cold surface temperatures in conjunction with high relative humidity creates conditions conducive to mould growth, as moisture accumulates on surfaces without adequate air circulation to facilitate drying."
upper floor flat in a purpose-built block,solid,late 1930s,mould,not mentioned,"extractor fans in bathroom and kitchen, trickle vents",uPVC,not mentioned,yes,lounge,not mentioned,0293_W12.pdf,elevated internal atmospheric moisture levels,flat,extract ventilation,uPVC,poor ventilation,none,"The reported damp and mould issues are primarily caused by water penetration through the exterior wall structure, exacerbated by compromised drainage features such as a cracked mortar fillet and a drip formed in the precast panel above the affected window. Additionally, the presence of a planter on the balcony above may contribute to moisture retention and further water ingress, particularly given the orientation of the window which is less exposed to prevailing weather conditions."
ground floor flat,cavity,not mentioned,both,not mentioned,"extractors, trickle vents, passive vents",not mentioned,not mentioned,yes,bathroom,bedroom,0009_CM9.pdf,atmospheric moisture conditions,ground floor flat,extract ventilation,not mentioned,poor ventilation,none,"The reported damp and mould issues are primarily caused by inadequate ventilation and high atmospheric moisture levels. The presence of a non-vented tumble dryer contributes significant heat and moisture to the indoor environment, exacerbating condensation on colder surfaces. Additionally, items placed against external walls restrict air circulation, leading to localized condensation and mould growth. The performance of the existing ventilation systems, including the PIV unit and kitchen extractor, is insufficient to manage the moisture levels effectively."
two bedroom third floor flat,cavity,1940s,both,not mentioned,trickle vents and passive vents,uPVC,not mentioned,yes,bedroom 1,bedroom 2,0037_LU3.pdf,lack of adequate ventilation,flat,natural ventilation,uPVC,poor ventilation,none,"The reported damp and mould issues in the property are primarily caused by inadequate ventilation, leading to elevated humidity levels and condensation, particularly around windows and in corners. Additionally, blocked vents in the bathroom and WC further exacerbate the moisture retention, while the use of polystyrene sheeting for insulation may have contributed to cooling surfaces that promote mould growth. The structural characteristics of the building, including its age and construction type, may also play a role in moisture retention."
end of terrace dwelling,cavity,1960s,both,north,trickle vents,uPVC,not mentioned,not mentioned,bedroom,lounge,0089_TA6.pdf,insufficient ventilation throughout the property,semi-detached/end terrace,natural ventilation,uPVC,poor ventilation,none,"The reported damp and mould issues in the property are primarily caused by inadequate ventilation leading to condensation, particularly in the bedroom area where cold surfaces meet warm, humid air. Additionally, the age of the property and the potential failure of the damp proof membrane (DPM) beneath the Marley tiles may contribute to moisture migration from the ground, exacerbating the damp conditions."
end of terrace dwelling,cavity,1960s,both,north,trickle vents,uPVC,not mentioned,not mentioned,bedroom,lounge,0262_TA6.pdf,insufficient ventilation throughout the property,semi-detached/end terrace,natural ventilation,uPVC,poor ventilation,none,"The reported damp and mould issues in the property are primarily caused by inadequate ventilation, as evidenced by blocked passive vents and insufficient air exchange in key areas like the kitchen and bathroom. Additionally, structural issues such as cracks in the external walls and concrete junctions may be allowing moisture ingress, further exacerbating the damp conditions. High relative humidity levels within the property also contribute to the moisture problems, particularly in areas with poor airflow."
semi-detached two-bedroom house,cavity,1950,mould,not mentioned,"extractor fans in bathroom and kitchen, trickle vents",uPVC,not mentioned,not mentioned,bathroom,not mentioned,0093_TN39.pdf,elevated atmospheric moisture levels,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,none,"The main causes of the reported damp and mould issues in the property are inadequate ventilation and elevated relative humidity levels, particularly in the bathroom, which allows moisture to accumulate. The presence of a concrete ground supported floor slab without a damp proof membrane (DPM) prior to 1965 may also contribute to moisture migration from the ground. Additionally, the closed windows with open trickle vents and insufficient airflow from the extractor fans further exacerbate the conditions conducive to mould growth."
three-bedroom semi-detached dwelling,cavity,not mentioned,mould,not mentioned,some trickle vents were open and some closed,not mentioned,not mentioned,not mentioned,bedrooms,lounge,0071_RG31.pdf,inadequate ventilation in wet rooms,semi-detached/end terrace,natural ventilation,not mentioned,poor ventilation,none,"The main causes of the reported damp and mould issues in the property are inadequate loft insulation leading to cold spots and uneven temperatures, which promote condensation, particularly in the bedrooms. Additionally, high relative humidity levels, especially at night, contribute to moisture accumulation, creating an environment conducive to mould growth. The presence of gaps in insulation and the cold exterior elements further exacerbate these conditions, allowing for moisture retention and facilitating mould proliferation."
maisonette,cavity,1965 – 1990,both,east,passive trickle vents and mechanical extraction units,not mentioned,not mentioned,not mentioned,"Bedroom 1, Bathroom",Bedroom 2,0060_PO15.pdf,elevated internal humidity and inadequate ventilation,other,extract ventilation,not mentioned,poor ventilation,none,"The main causes of the reported damp and mould issues in the property are inadequate ventilation and high humidity levels. The mechanical extraction units in the bathroom and kitchen are either non-compliant or ineffective, leading to insufficient removal of moisture generated from activities like cooking and bathing. Additionally, the presence of condensation on windows and external walls indicates that warm, moist air is coming into contact with cooler surfaces, exacerbating the mould growth due to poor air circulation and elevated atmospheric moisture levels."
maisonette,cavity,1965 – 1990,both,east,passive trickle vents and mechanical extraction units,not mentioned,not mentioned,not mentioned,"Bedroom 1, Bathroom",Bedroom 2,0193_PO15.pdf,elevated internal humidity and inadequate ventilation,other,extract ventilation,not mentioned,poor ventilation,none,"The main causes of the damp and mould issues reported in the mat well are a leaking soil vent pipe (SVP) joint, which allows water to migrate into the area, and the lack of access to the ground floor drainage system for proper testing. The presence of water from the leaking joint is the primary factor contributing to the wet conditions in the mat well."
end of terrace dwelling,solid,1700s,both,not mentioned,"timber frame casement windows, wall mounted extractor in shower room, ceiling mounted extractor in ensuite",timber frame casement,not mentioned,not mentioned,"master bedroom, lounge",rear utility room,0024_GU31.pdf,ground related moisture affecting skim plaster,semi-detached/end terrace,extract ventilation,timber,rising damp,none,"The reported issues of damp and mould in the property are primarily caused by inadequate damp proofing measures in the older construction, leading to ground moisture migration through capillary action. Additionally, insufficient ventilation, particularly in areas like the kitchen and bathrooms, contributes to elevated humidity levels, creating conditions conducive to mould growth. The presence of salts indicates ongoing moisture issues, while the lack of effective moisture barriers and the design of the building allow for moisture retention and penetration, exacerbating the problem."
two-bedroom ground floor flat,cavity,circa 2012,both,not mentioned,mechanical extraction and heat recovery unit with vents in all rooms,not mentioned,not mentioned,yes,"Bedroom 1, Bedroom 2","Lounge, Kitchen",0021_GU19.pdf,elevated internal humidity and inadequate ventilation,ground floor flat,MVHR,not mentioned,poor ventilation,none,"The main causes of the reported damp and mould issues in the property are inadequate ventilation and elevated internal humidity levels. The presence of mould on contents and surfaces is driven by high relative humidity, often exceeding 70%, which is exacerbated by activities such as drying clothes indoors without proper ventilation. Additionally, the mechanical extraction and heat recovery system has not been serviced since 2019, potentially leading to suboptimal performance in managing moisture levels."
semi-detached dwelling,cavity,not mentioned,both,not mentioned,"mechanical extraction units in bathroom and kitchen, passive vent in bedroom 2",uPVC,not mentioned,yes,bathroom,bedroom 2,0084_SO50.pdf,inadequate ventilation and ongoing moisture generation,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,lifestyle factors,"The main causes of the reported damp and mould issues in the property are inadequate ventilation, particularly in the bathroom and kitchen, leading to condensation, and high internal humidity levels due to drying clothes indoors. Additionally, the presence of cold surfaces in contact with warm moist air exacerbates the condensation problem, while the ineffective operation of the bathroom extractor fan further contributes to the lack of proper air circulation."
