property_type,wall_type,age,issue_type,orientation,ventilation,window_type,occupancy,drying_clothes,main_issue_location,secondary_issue_locations,filename,cause,property_type_categorised,ventilation_categorised,window_type_categorised,cause_primary,cause_secondary
two bedroomed ground floor flat,cavity,not mentioned,both,not mentioned,"background trickle vents, forced extraction devices",not mentioned,not mentioned,yes,Bedroom 2,Bathroom,0127_CR8.pdf,structural dampness from inadequate membrane installation,ground floor flat,extract ventilation,not mentioned,external moisture penetration,none
end of terrace dwelling,cavity,not mentioned,both,not mentioned,"trickle vent, 100mm pull chord extraction unit",uPVC,3 adults and 2 children,yes,bedroom 1,bedroom 2,0036_LU2.pdf,restricted airflow and elevated atmospheric conditions,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,none
end of terrace dwelling,cavity,not mentioned,both,not mentioned,"trickle vent, 100mm pull chord extraction unit",uPVC,3 adults and 2 children,yes,bedroom 1,bedroom 2,0161_LU2.pdf,restricted airflow and elevated atmospheric conditions,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,none
two-bedroom first floor flat,cavity,not mentioned,both,not mentioned,"mechanical extraction units in kitchen and bathroom, passive vent in bedroom 1, trickle vents to all windows except lounge",not mentioned,not mentioned,yes,bathroom,bedroom 1,0080_SO19.pdf,lack of adequate cross ventilation,flat,extract ventilation,not mentioned,poor ventilation,none
semi-detached dwelling,cavity,not mentioned,both,not mentioned,bathroom extractor and kitchen pull cord device,not mentioned,not mentioned,not mentioned,ground floor bathroom,"kitchen, hallway",0082_SO31.pdf,moisture migration from exterior to interior,semi-detached/end terrace,extract ventilation,not mentioned,external moisture penetration,none
ground floor flat in a purpose-built block,cavity,early 1970s,both,not mentioned,"extractors, trickle vents",uPVC,not mentioned,yes,bathroom,"lounge, bedroom 1",0068_RG1.pdf,ineffective forced ventilation in key areas,ground floor flat,extract ventilation,uPVC,poor ventilation,none
mid-terrace dwelling,cavity,not mentioned,both,not mentioned,"extractors, passive vents, trickle vents",uPVC,2 adults and 3 children,yes,"hall, bedroom 1","kitchen, bathroom",0031_LU1.pdf,atmospheric moisture levels within the property,mid terrace,extract ventilation,uPVC,poor ventilation,none
modern two-bedroom end of terrace dwelling,cavity,not mentioned,mould,not mentioned,intermittent fan units and trickle vents,not mentioned,not mentioned,not mentioned,lounge,not mentioned,0027_IP25.pdf,elevated humidity and inadequate ventilation,semi-detached/end terrace,extract ventilation,not mentioned,poor ventilation,none
one-bedroom ground floor flat,cavity,1984,both,not mentioned,"non-functioning extraction device in the bathroom, working unit in the kitchen",not mentioned,not mentioned,not mentioned,"bathroom, kitchen",not mentioned,0010_CR0.pdf,lack of ventilation and high humidity,ground floor flat,extract ventilation,not mentioned,poor ventilation,none
first floor flat in a purpose-built block,cavity,not mentioned,both,north,"PIV unit, extractor fans, trickle vents",uPVC,not mentioned,yes,bedroom,hallway,0077_SM2.pdf,condensation due to inadequate ventilation,flat,PIV,uPVC,poor ventilation,none
three-bedroom end of terrace dwelling,cavity,1950s,both,not mentioned,"cooker hood (not in use), trickle vents (closed)",uPVC,3 adults and 1 baby,yes,"hall, kitchen","bathroom, landing",0034_LU1.pdf,moisture penetration through external cracks,semi-detached/end terrace,natural ventilation,uPVC,external moisture penetration,none
three-bedroom end of terrace dwelling,cavity,1950s,both,not mentioned,"cooker hood (not in use), trickle vents (closed)",uPVC,3 adults and 1 baby,yes,"hall, kitchen","bathroom, landing",0160_LU1.pdf,moisture penetration through external cracks,semi-detached/end terrace,natural ventilation,uPVC,external moisture penetration,none
semi-detached,solid,1965 – 1990,both,north,"limited ventilation, no trickle vents, reliance on opening windows",uPVC,not mentioned,not mentioned,"Bedroom 1, Bedroom 2",not mentioned,0066_PO8.pdf,inadequate ventilation and elevated humidity,semi-detached/end terrace,natural ventilation,uPVC,poor ventilation,none
end-terraced,cavity,1920 – 1950,mould,east,"mechanical extraction unit in the kitchen, passive wall vent, passive trickle vents",not mentioned,not mentioned,not mentioned,Bedroom 1,not mentioned,0053_ME4.pdf,elevated humidity and inadequate ventilation,semi-detached/end terrace,extract ventilation,not mentioned,poor ventilation,none
semi-detached dwelling,cavity,1950,both,not mentioned,"forced ventilation in kitchen and bathroom, passive ventilation with trickle vents",uPVC,not mentioned,yes,kitchen and lounge,"daughters bedroom, sons bedroom, landing",0028_KT7.pdf,ventilation issues and rising damp,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,rising damp
ground floor one bedroom flat,cavity,not mentioned,both,not mentioned,"trickle vents, passive vents",not mentioned,not mentioned,yes,lounge,kitchen,0038_LU3.pdf,lack of ventilation and inadequate heating,ground floor flat,natural ventilation,not mentioned,poor ventilation,insufficient heating
one bedroom ground floor dwelling,cavity,pre-date 1965,mould,not mentioned,"mechanical extraction units in kitchen and bathroom, passive trickle vents",not mentioned,not mentioned,yes,bedroom,wardrobes,0035_LU2.pdf,inadequate ventilation during elevated humidity,ground floor flat,extract ventilation,not mentioned,poor ventilation,none
terraced two-bedroom ground floor flat,cavity,not mentioned,both,not mentioned,"extraction unit in kitchen, passive ventilation unit in Bedroom 1, trickle vents",not mentioned,not mentioned,not mentioned,"lounge, bedroom 1",not mentioned,0032_LU1.pdf,lack of adequate ventilation,ground floor flat,extract ventilation,not mentioned,poor ventilation,none
two-bedroom ground floor flat,cavity,circa 2018,both,not mentioned,"PIV unit, bathroom and kitchen extractors",not mentioned,not mentioned,yes,bathroom,kitchen,0022_GU24.pdf,long-term leak from bathroom seat fixings,ground floor flat,PIV,not mentioned,internal leaks/plumbing,none
modernised detached 3 bedroomed dwelling,not mentioned,not mentioned,both,not mentioned,"extractors, trickle vents",not mentioned,not mentioned,not mentioned,lounge,bathroom,0067_PO8.pdf,structural related issues causing water ingress,detached,extract ventilation,not mentioned,external moisture penetration,none
upper floor flat in a purpose-built block,solid,late 1930s,mould,not mentioned,"extractor fans in bathroom and kitchen, trickle vents",uPVC,not mentioned,yes,lounge,not mentioned,0094_W12.pdf,elevated internal atmospheric moisture levels,flat,extract ventilation,uPVC,poor ventilation,none
upper floor flat in a purpose-built block,solid,late 1930s,mould,not mentioned,"extractor fans in bathroom and kitchen, trickle vents",uPVC,not mentioned,yes,lounge,not mentioned,0293_W12.pdf,elevated internal atmospheric moisture levels,flat,extract ventilation,uPVC,poor ventilation,none
ground floor flat,cavity,not mentioned,both,not mentioned,"extractors, trickle vents, passive vents",not mentioned,not mentioned,yes,bathroom,bedroom,0009_CM9.pdf,atmospheric moisture conditions,ground floor flat,extract ventilation,not mentioned,poor ventilation,none
two bedroom third floor flat,cavity,1940s,both,not mentioned,trickle vents and passive vents,uPVC,not mentioned,yes,bedroom 1,bedroom 2,0037_LU3.pdf,lack of adequate ventilation,flat,natural ventilation,uPVC,poor ventilation,none
end of terrace dwelling,cavity,1960s,both,north,trickle vents,uPVC,not mentioned,not mentioned,bedroom,lounge,0089_TA6.pdf,insufficient ventilation throughout the property,semi-detached/end terrace,natural ventilation,uPVC,poor ventilation,none
end of terrace dwelling,cavity,1960s,both,north,trickle vents,uPVC,not mentioned,not mentioned,bedroom,lounge,0262_TA6.pdf,insufficient ventilation throughout the property,semi-detached/end terrace,natural ventilation,uPVC,poor ventilation,none
semi-detached two-bedroom house,cavity,1950,mould,not mentioned,"extractor fans in bathroom and kitchen, trickle vents",uPVC,not mentioned,not mentioned,bathroom,not mentioned,0093_TN39.pdf,elevated atmospheric moisture levels,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,none
three-bedroom semi-detached dwelling,cavity,not mentioned,mould,not mentioned,some trickle vents were open and some closed,not mentioned,not mentioned,not mentioned,bedrooms,lounge,0071_RG31.pdf,inadequate ventilation in wet rooms,semi-detached/end terrace,natural ventilation,not mentioned,poor ventilation,none
maisonette,cavity,1965 – 1990,both,east,passive trickle vents and mechanical extraction units,not mentioned,not mentioned,not mentioned,"Bedroom 1, Bathroom",Bedroom 2,0060_PO15.pdf,elevated internal humidity and inadequate ventilation,other,extract ventilation,not mentioned,poor ventilation,none
maisonette,cavity,1965 – 1990,both,east,passive trickle vents and mechanical extraction units,not mentioned,not mentioned,not mentioned,"Bedroom 1, Bathroom",Bedroom 2,0193_PO15.pdf,elevated internal humidity and inadequate ventilation,other,extract ventilation,not mentioned,poor ventilation,none
end of terrace dwelling,solid,1700s,both,not mentioned,"timber frame casement windows, wall mounted extractor in shower room, ceiling mounted extractor in ensuite",timber frame casement,not mentioned,not mentioned,"master bedroom, lounge",rear utility room,0024_GU31.pdf,ground related moisture affecting skim plaster,semi-detached/end terrace,extract ventilation,timber,rising damp,none
two-bedroom ground floor flat,cavity,circa 2012,both,not mentioned,mechanical extraction and heat recovery unit with vents in all rooms,not mentioned,not mentioned,yes,"Bedroom 1, Bedroom 2","Lounge, Kitchen",0021_GU19.pdf,elevated internal humidity and inadequate ventilation,ground floor flat,MVHR,not mentioned,poor ventilation,none
semi-detached dwelling,cavity,not mentioned,both,not mentioned,"mechanical extraction units in bathroom and kitchen, passive vent in bedroom 2",uPVC,not mentioned,yes,bathroom,bedroom 2,0084_SO50.pdf,inadequate ventilation and ongoing moisture generation,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,lifestyle factors
ground floor one-bedroom flat,cavity,not mentioned,damp,not mentioned,"forced extractors in the bathroom and kitchen, trickle vents",not mentioned,not mentioned,not mentioned,bathroom,hallway,0001_BN17.pdf,gaps in the damp proof membrane,ground floor flat,extract ventilation,not mentioned,external moisture penetration,none
ground floor one-bedroom flat,cavity,not mentioned,damp,not mentioned,"forced extractors in the bathroom and kitchen, trickle vents",not mentioned,not mentioned,not mentioned,bathroom,hallway,0103_BN17.pdf,gaps in the damp proof membrane,ground floor flat,extract ventilation,not mentioned,external moisture penetration,none
semi-detached house,cavity,late 50’s early 60’s,both,not mentioned,"uPVC windows with trickle vents, extractor fans",uPVC,not mentioned,not mentioned,"lounge, kitchen","bedroom 1, bedroom 3",0085_SO53.pdf,moisture bridging the cavity walls,semi-detached/end terrace,extract ventilation,uPVC,external moisture penetration,none
modern ground floor flat,timber,not mentioned,both,not mentioned,"extractor fans, trickle vents",uPVC,not mentioned,not mentioned,"kitchen, bedroom 1",bedroom 2,0025_GU9.pdf,elevated internal atmospheric conditions,ground floor flat,extract ventilation,uPVC,poor ventilation,none
semi-detached three-bedroomed dwelling,cavity,circa 2023,mould,not mentioned,continuous running extractor fan with boost function,not mentioned,not mentioned,not mentioned,bathroom,front bedroom,0004_BS35.pdf,inadequate ventilation and extractor performance,semi-detached/end terrace,continuous mechanical ventilation,not mentioned,poor ventilation,none
flat,cavity,1965 – 1990,both,east,"PIV system and mechanical extraction unit in the bathroom, trickle vents in all windows",not mentioned,not mentioned,not mentioned,Lounge,Bedroom 1,0065_PO7.pdf,raised internal humidity and lack of ventilation,flat,PIV,not mentioned,poor ventilation,none
flat,cavity,1965 – 1990,both,east,"PIV system and mechanical extraction unit in the bathroom, trickle vents in all windows",not mentioned,not mentioned,not mentioned,Lounge,Bedroom 1,0202_PO7.pdf,raised internal humidity and lack of ventilation,flat,PIV,not mentioned,poor ventilation,none
upper floor flat in a purpose-built block,cavity,not mentioned,both,not mentioned,"kitchen extractor unit manually controlled, passive vents behind radiators",uPVC,not mentioned,yes,bathroom,kitchen,0076_SE6.pdf,ineffective ventilation and atmospheric moisture,flat,extract ventilation,uPVC,poor ventilation,external moisture penetration
post-war end of terrace bungalow,cavity,not mentioned,both,not mentioned,"extractor fans, trickle vents",uPVC,not mentioned,not mentioned,bathroom,kitchen,0090_TA9.pdf,inadequate ventilation and bathroom leaks,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,internal leaks/plumbing
post-war end of terrace bungalow,cavity,not mentioned,both,not mentioned,"extractor fans, trickle vents",uPVC,not mentioned,not mentioned,bathroom,kitchen,0275_TA9.pdf,inadequate ventilation and bathroom leaks,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,internal leaks/plumbing
modern ground floor flat,cavity,not mentioned,both,not mentioned,"uPVC windows with trickle vents, ceiling mounted intermittent running fan in bathroom, manually operated fan in kitchen",uPVC,not mentioned,not mentioned,Bedroom 2,"Bathroom, Kitchen area",0026_HP23.pdf,inadequate ventilation and high humidity,ground floor flat,extract ventilation,uPVC,poor ventilation,none
flat,cavity,1990 - present,mould,west,"mechanical extraction units in bathroom and kitchen, trickle vents",not mentioned,not mentioned,not mentioned,bedroom,lounge,0092_TN22.pdf,inadequate ventilation and raised humidity levels,flat,extract ventilation,not mentioned,poor ventilation,none
flat,cavity,1965 – 1990,mould,west,"mechanical extraction unit in bathroom, passive trickle vents",uPVC,not mentioned,not mentioned,"lounge, kitchen","bedroom, bathroom",0046_ME1.pdf,inadequate ventilation and elevated humidity levels,flat,extract ventilation,uPVC,poor ventilation,none
end of terrace dwelling,cavity,late 1970s,mould,not mentioned,"extractor fans in bathroom and kitchen, trickle vents",uPVC,not mentioned,yes,"bathroom, bedroom 3","lounge, kitchen",0013_CT5.pdf,elevated internal atmospheric conditions,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,none
two-bedroom ground floor flat,cavity,pre-dating 1965,both,not mentioned,"mechanical extraction units in kitchen and bathroom, trickle vents, passive vents",not mentioned,1 adult and 2 children,not mentioned,"Bedroom 1, Bedroom 2","Bathroom, Lounge",0064_PO6.pdf,inadequate ventilation during elevated humidity,ground floor flat,extract ventilation,not mentioned,poor ventilation,none
1-bedroom semi-detached bungalow,cavity,not mentioned,not mentioned,not mentioned,"100mm diameter extraction unit in wet room, trickle vents open and clean",not mentioned,not mentioned,not mentioned,lounge,"kitchen, hallway",0033_LU1.pdf,foot traffic or furniture movement,semi-detached/end terrace,extract ventilation,not mentioned,other/unclear,none
three bedroom semi-detached dwelling,cavity,early 1970s,both,not mentioned,continuous running fans with boost function in kitchen and bathroom,uPVC,not mentioned,not mentioned,kitchen,not mentioned,0016_DA16.pdf,ineffective ventilation and occupational activity,semi-detached/end terrace,continuous mechanical ventilation,uPVC,poor ventilation,lifestyle factors
flat,cavity,1965 – 1990,both,north,"mechanical extraction units in the kitchen and wet room, background passive trickle vents (blocked)",not mentioned,not mentioned,not mentioned,"lounge, bedroom",not mentioned,0043_LU4.pdf,inadequate ventilation and raised humidity levels,flat,extract ventilation,not mentioned,poor ventilation,none
semi-detached dwelling,not mentioned,not mentioned,both,not mentioned,"trickle vents, extractor fans",not mentioned,not mentioned,not mentioned,"wardrobe area, living room","bathroom, lounge",0086_SS12.pdf,inadequate ventilation and temperature differences,semi-detached/end terrace,extract ventilation,not mentioned,poor ventilation,insufficient heating
bungalow,cavity,1990 - present,mould,north,"working mechanical extraction units in both the bathroom and kitchen plus, trickle vents to the windows",uPVC,not mentioned,not mentioned,bathroom,not mentioned,0070_RG29.pdf,increased humidity levels and inadequate ventilation,other,extract ventilation,uPVC,poor ventilation,none
two-bedroom ground floor flat,solid,not mentioned,damp,not mentioned,trickle vents,not mentioned,not mentioned,not mentioned,master bedroom,bedroom 2,0063_PO5.pdf,structural dampness from poor external finish,ground floor flat,natural ventilation,not mentioned,external moisture penetration,none
two-bedroomed first floor flat,cavity,not mentioned,both,not mentioned,"mechanical extraction units in bathroom and kitchen, trickle vents fitted to windows",not mentioned,not mentioned,not mentioned,Bedroom 1,Bathroom,0059_PO1.pdf,inadequate ventilation and cooler areas,flat,extract ventilation,not mentioned,poor ventilation,insufficient heating
2-bedroom terraced dwelling,cavity,pre-dating 1965,mould,not mentioned,"trickle vents, bathroom extractor fan",not mentioned,5 people,yes,bedrooms,bathroom,0042_LU4.pdf,atmospheric moisture levels and poor ventilation,mid terrace,extract ventilation,not mentioned,poor ventilation,none
"large, detached dwelling",solid,mid 1800’s,both,not mentioned,"intermittent functioning fan unit in bathroom, passive ventilation with no trickle vents",uPVC and timber sash windows,not mentioned,not mentioned,kitchen,not mentioned,0015_DA12.pdf,inadequate ventilation causing elevated moisture levels,detached,extract ventilation,uPVC and timber,poor ventilation,none
detached dwelling,cavity,early to mid-1900s,both,not mentioned,"uPVC windows with trickle vents, ceiling mounted extractor in bathroom, no extractor fan in kitchen",uPVC,not mentioned,not mentioned,"dining room, lounge",not mentioned,0091_TN18.pdf,atmospheric moisture from inadequate ventilation,detached,extract ventilation,uPVC,poor ventilation,none
semi-detached bungalow,cavity,not mentioned,both,right-hand side,extractors,not mentioned,not mentioned,not mentioned,Bedroom 2,not mentioned,0061_PO20.pdf,inadequate ventilation and potential structural dampness,semi-detached/end terrace,extract ventilation,not mentioned,poor ventilation,external moisture penetration
ground floor 2 bedroom dwelling,cavity,circa 3 years old,both,not mentioned,extractor,not mentioned,not mentioned,yes,bedrooms,lounge,0023_GU3.pdf,inadequate ventilation and stagnant air,ground floor flat,extract ventilation,not mentioned,poor ventilation,none
ground floor 2 bedroom dwelling,cavity,circa 3 years old,both,not mentioned,extractor,not mentioned,not mentioned,yes,bedrooms,lounge,0149_GU3.pdf,inadequate ventilation and stagnant air,ground floor flat,extract ventilation,not mentioned,poor ventilation,none
two-bedroom ground floor flat,cavity,2024,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,Bedroom 1,Hallway,0020_GL10.pdf,structural dampness from poor external finish,ground floor flat,not mentioned,not mentioned,external moisture penetration,none
two-bedroom ground floor flat,cavity,2020/2021,both,not mentioned,"forced extractor in kitchen/lounge and bathroom, limited trickle vents",not mentioned,2 adults and 1 infant,not mentioned,infants bedroom,lounge,0003_BR1.pdf,inadequate ventilation and water ingress,ground floor flat,extract ventilation,not mentioned,poor ventilation,external moisture penetration
flat,cavity,1965 – 1990,both,east,"working mechanical extraction units in kitchen and bathroom, passive trickle vents",not mentioned,not mentioned,not mentioned,kitchen,Bedroom 1,0087_SS15.pdf,inadequate ventilation and raised humidity levels,flat,extract ventilation,not mentioned,poor ventilation,none
first floor flat in a purpose-built block,cavity,prior to 1960,mould,not mentioned,passive ventilation with trickle vents and non-functioning kitchen extractor,uPVC,not mentioned,yes,bathroom,hallway,0045_ME1.pdf,ineffective ventilation and poor insulation installation,flat,natural ventilation,uPVC,poor ventilation,insufficient heating
semi-detached 2 bedroom ground floor maisonette,cavity,not mentioned,damp,not mentioned,forced extraction units in bathroom and kitchen,uPVC,2 adults and 3 medium sized dogs,not mentioned,lounge,"bathroom, kitchen",0081_SO31.pdf,breaching of the installed DPC,semi-detached/end terrace,extract ventilation,uPVC,rising damp,none
ground floor flat in a purpose-built block,cavity,not mentioned,both,not mentioned,"continuous running fans with boost functions, passive vents",uPVC,not mentioned,not mentioned,"bedroom, lounge",hallway,0005_CM3.pdf,ineffective ventilation and fan control,ground floor flat,continuous mechanical ventilation,uPVC,poor ventilation,none
semi-detached dwelling,solid,1930s,both,not mentioned,"passive vents, extractor fans",uPVC,not mentioned,not mentioned,master bedroom,"lounge, kitchen",0014_DA11.pdf,elevated atmospheric moisture levels,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,none
two-bedroom ground floor flat,cavity,not mentioned,both,not mentioned,kitchen and bathroom extractors,not mentioned,not mentioned,not mentioned,"hallway, bedroom 2",bathroom,0008_CM9.pdf,plumbing issue causing significant moisture levels,ground floor flat,extract ventilation,not mentioned,internal leaks/plumbing,none
ground floor flat in a converted hospital,solid,not mentioned,both,not mentioned,"installed ventilation with issues, extractor fans in kitchen and bathroom",timber box sash windows,not mentioned,yes,Bedroom 2,Bathroom,0062_PO3.pdf,ineffective installed ventilation,ground floor flat,extract ventilation,timber,poor ventilation,none
self-contained ground floor flat,solid,1885 – 1920,both,not mentioned,no forced air extraction,timber and uPVC,not mentioned,not mentioned,lounge,bathroom,0029_L19.pdf,rising damp from poor mortar joints and guttering,ground floor flat,natural ventilation,uPVC and timber,rising damp,external moisture penetration
terraced solid brick wall dwelling,solid,not mentioned,not mentioned,not mentioned,"forced extractors in kitchen and bathroom, trickle vents fitted to all windows",not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,0057_NW6.pdf,inadequate ventilation during non-occupancy,mid terrace,extract ventilation,not mentioned,poor ventilation,none
ground floor flat in a purpose-built block,cavity,early 1970s,both,not mentioned,passive vents and wall-mounted extractor unit in kitchen,uPVC,not mentioned,not mentioned,bathroom,not mentioned,0048_ME1.pdf,inadequate ventilation in the bathroom,ground floor flat,extract ventilation,uPVC,poor ventilation,none
ground floor flat in a purpose-built block,cavity,early 1970s,both,not mentioned,passive vents and wall-mounted extractor unit in kitchen,uPVC,not mentioned,not mentioned,bathroom,not mentioned,0164_ME1.pdf,inadequate ventilation in the bathroom,ground floor flat,extract ventilation,uPVC,poor ventilation,none
3 bedroom terraced dwelling,cavity,not mentioned,both,not mentioned,"mechanical extraction unit in the bathroom, passive trickle vents to the windows",not mentioned,not mentioned,not mentioned,"bedroom 3, bathroom",kitchen,0041_LU4.pdf,inadequate ventilation during high humidity,mid terrace,extract ventilation,not mentioned,poor ventilation,none
flat,cavity,1990 - present,both,south-west,"mechanical extraction unit in bathroom, cooker hood in kitchen, passive trickle vents",not mentioned,not mentioned,not mentioned,bathroom,bedroom,0058_NW7.pdf,inadequate ventilation and elevated humidity levels,flat,extract ventilation,not mentioned,poor ventilation,none
one-bedroom first-floor flat,cavity,not mentioned,mould,not mentioned,mechanical extraction units in the bathroom and kitchen/lounge area,not mentioned,not mentioned,yes,bedroom,not mentioned,0079_SO16.pdf,elevated humidity and insufficient ventilation,flat,extract ventilation,not mentioned,poor ventilation,none
flat,cavity,1965 – 1990,mould,south,mechanical extraction units in bathroom and kitchen plus trickle vents to the windows,uPVC,not mentioned,not mentioned,"bathroom, kitchen",lounge,0051_ME2.pdf,elevated internal humidity and inadequate ventilation,flat,extract ventilation,uPVC,poor ventilation,none
flat,cavity,1965 – 1990,mould,south,mechanical extraction units in bathroom and kitchen plus trickle vents to the windows,uPVC,not mentioned,not mentioned,"bathroom, kitchen",lounge,0169_ME2.pdf,elevated internal humidity and inadequate ventilation,flat,extract ventilation,uPVC,poor ventilation,none
three-bedroom semi-detached bungalow,timber,pre-1965,mould,not mentioned,passive ventilation with trickle vents,uPVC,not mentioned,not mentioned,Bedroom 1,Bedroom 3,0007_CM9.pdf,persistent elevated atmospheric moisture levels,semi-detached/end terrace,natural ventilation,uPVC,poor ventilation,none
three bedroomed semi-detached dwelling,solid,pre-1965,both,not mentioned,"kitchen extractor not working, bathroom extractor insufficient",uPVC,not mentioned,not mentioned,Master Bedroom,not mentioned,0052_ME3.pdf,rainwater ingress through defective exterior render,semi-detached/end terrace,extract ventilation,uPVC,external moisture penetration,none
three bedroomed semi-detached dwelling,solid,pre-1965,both,not mentioned,"kitchen extractor not working, bathroom extractor insufficient",uPVC,not mentioned,not mentioned,Master Bedroom,not mentioned,0170_ME3.pdf,rainwater ingress through defective exterior render,semi-detached/end terrace,extract ventilation,uPVC,external moisture penetration,none
end of terrace dwelling,solid,early 1900s,both,south,extractor fans in bathroom and kitchen,uPVC,not mentioned,not mentioned,gable end wall,"dining room, bedroom",0074_RH19.pdf,residual cavity wall insulation preventing ventilation,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,none
end of terrace dwelling,solid,early 1900s,both,south,extractor fans in bathroom and kitchen,uPVC,not mentioned,not mentioned,gable end wall,"dining room, bedroom",0209_RH19.pdf,residual cavity wall insulation preventing ventilation,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,none
flat,cavity,not mentioned,both,west,mechanical extraction units and window trickle vents,not mentioned,not mentioned,not mentioned,"kitchen, bathroom","bedroom 1, lounge",0050_ME2.pdf,inadequate ventilation and raised humidity levels,flat,extract ventilation,not mentioned,poor ventilation,none
ground floor maisonette,cavity,not mentioned,both,not mentioned,"continuous running fan in bathroom, intermittent unit in kitchen",uPVC,1 adult and 1 child alongside a large dog,yes,bathroom,not mentioned,0049_ME2.pdf,lack of adequate ventilation and moisture generation,ground floor flat,continuous mechanical ventilation,uPVC,poor ventilation,lifestyle factors
