cause,filename
"The primary cause of the issue is a combination of raised internal humidity levels and inadequate ventilation, due to underperforming extraction units and blocked trickle vents.",David_Bly_LU4 (5).pdf
"Inadequate ventilation and temperature differences between floors, combined with ineffective insulation, are leading to condensation and mould growth.",David_Bly_SS12.pdf
Mould issues are associated with periods of increased humidity levels and inadequate ventilation.,David_Bly_RG29.pdf
"The primary cause of the damp and mould issue is structural dampness related to the external elevations, particularly due to poor external finishes that allow rainwater penetration and inadequate evaporation, leading to wet insulation and condensation on the inner walls.",David_Bly_PO5.pdf
Inadequate ventilation and the placement of contents in front of colder external walls leading to condensation.,David_Bly_PO1.pdf
"The primary cause of the mould issue is elevated atmospheric moisture levels in the property, exacerbated by inadequate ventilation and occupational activities.",David_Bly_LU4 (4).pdf
"Elevated atmospheric moisture levels due to inadequate ventilation, supporting mould growth.",David_Bly_DA12.pdf
"The primary cause of the mould issue is atmospheric moisture, exacerbated by inadequate ventilation and occupational activities within the property.",David_Bly_TN18.pdf
"The primary cause of the damp and mould issue is likely due to inadequate ventilation and potential structural dampness, exacerbated by the absence of effective air bricks and issues with the external render allowing moisture penetration.",David_Bly_PO20.pdf
"The primary cause of the damp and mould issue is inadequate ventilation combined with localized moisture accumulation due to flooding and poor air circulation, particularly in areas where contents are placed close to affected walls.",David_Bly_GU3.pdf
"The primary cause of the damp and mould issue is structural dampness related to the poor condition of the external elevations, particularly the side wall, which allows rainwater penetration and leads to wet insulation and elevated moisture levels inside the property.",David_Bly_GL10.pdf
"The primary cause of the issue is inadequate ventilation and gaps in the external render and sealant, allowing water ingress and contributing to dampness and potential mould growth.",David_Bly_BR1.pdf
Inadequate ventilation and periods of raised internal humidity levels.,David_Bly_SS15.pdf
"The primary cause of the mould issue is inadequate ventilation, particularly due to malfunctioning extractor fans and poor installation of cavity wall insulation, leading to elevated moisture levels and condensation.",David_Bly_ME1 (2).pdf
"The primary cause of the damp and mould issue is likely due to inadequate ventilation and potential breaches in the damp proof course (DPC), which can lead to damp bridging and moisture accumulation in the property.",David_Bly_SO31 (2).pdf
Ineffective ventilation and misunderstanding of fan controls leading to elevated humidity and condensation issues.,David_Bly_CM3.pdf
Elevated atmospheric moisture levels due to inadequate ventilation and a plumbing issue.,David_Bly_DA11.pdf
"The primary cause of the damp and mould issue is a plumbing problem leading to significant moisture levels in the hallway and adjoining bathroom, along with condensation issues in Bedroom 2 due to inadequate ventilation.",David_Bly_CM9 (4).pdf
"The primary cause of the mould issue is inadequate ventilation, which is exacerbated by occupational activity and insufficient compliance with the whole dwelling ventilation rate.",David_Bly_PO3.pdf
"The primary cause of the damp and mould issue is inadequate mortar joints and blocked guttering, which allow rainwater to penetrate the structure and contribute to rising damp.",David_Bly_L19.pdf
Inadequate ventilation during non-occupancy leading to stale and stagnant atmospheric conditions.,David_Bly_NW6.pdf
"The primary cause of the damp and mould issue is inadequate ventilation in the bathroom, which lacks an extractor fan, leading to elevated atmospheric moisture levels.",David_Bly_ME1.pdf
Inadequate ventilation during periods of raised internal humidity levels.,David_Bly_LU4 (3).pdf
Inadequate ventilation leading to periods of elevated internal humidity levels.,David_Bly_NW7.pdf
Periods of elevated internal humidity levels and insufficient ventilation are the primary causes of the mould issue.,David_Bly_SO16.pdf
"The primary cause of the mould issue is elevated internal humidity levels combined with inadequate ventilation, including underperforming extraction units and impaired trickle vents.",David_Bly_ME2.pdf
Persistent elevated atmospheric moisture levels due to lack of forced ventilation in the bathroom and kitchen.,David_Bly_CM9 (3).pdf
"The primary cause of the damp and mould issues is a combination of structural moisture from plumbing leaks and rainwater ingress through damaged exterior render, compounded by ineffective ventilation and high atmospheric moisture levels.",David_Bly_ME3.pdf
"Significant levels of cavity wall insulation remain in the wall structure, preventing natural ventilation and allowing moisture to migrate across the cavity, combined with debris bridging the damp proof course (DPC) and the use of hard cement mortar instead of lime mortar.",David_Bly_RH19.pdf
Periods of raised humidity levels and inadequate ventilation,David_Bly_ME2 (3).pdf
"The primary cause of the mould issue is inadequate ventilation in wet rooms, leading to moisture-laden air circulating in the property, combined with atmospheric moisture generation from the occupants and their activities.",David_Bly_ME2 (2).pdf
"Water ingress due to defects in the flat roof, including joint lifting and gaps at the wall junction, leading to mould contamination in the room below.",David_Bly_NG17.pdf
"Inadequate use of the installed ventilation measures, particularly the non-use of the MVHR unit, leading to poor air circulation and potential condensation issues.",David_Bly_SO50 (2).pdf
"The primary cause of the damp and mould issue is high relative humidity levels and condensation occurring due to cold surface temperatures in the rear area of the property, which create conditions conducive to mould growth.",David_Bly_SW6.pdf
Inadequate ventilation combined with elevated internal humidity levels leading to surface condensation.,David_Bly_ME1 (4).pdf
"The primary cause of the damp and mould issue is the failure of the ventilation system, particularly the non-functioning fan units in the bathroom and kitchen, leading to elevated humidity levels and atmospheric moisture.",David_Bly_CM9 (2).pdf
Inadequate ventilation during periods of elevated internal humidity levels combined with cooler areas forming behind contents on wall surfaces.,David_Bly_BN43.pdf
"The primary cause of the mould issue is persistent elevated humidity levels due to inadequate ventilation and occupational activities, compounded by difficulties in maintaining an acceptable temperature in the property.",David_Bly_CR0.pdf
"The primary cause of the mould issues is the low internal air temperatures and high levels of atmospheric moisture, particularly influenced by the cooler wall temperatures in the wardrobe area.",David_Bly_RH20.pdf
"The primary cause of the issue is the improper use of the MVHR system, specifically the taping over of linear diffuser outlets, which disrupts the intended airflow and ventilation, potentially leading to increased airborne spores.",David_Bly_EC1M.pdf
"The primary cause of the issue is a lack of adequate ventilation, particularly in the bathroom where the extraction unit is not working, combined with occupational activity that may contribute to moisture levels.",David_Bly_LU4 (2).pdf
"Inadequate ventilation and raised humidity levels, exacerbated by a burst pipe and ground moisture.",David_Bly_ME4.pdf
"The primary cause of the damp and mould issue is likely inadequate cavity wall insulation (CWI) coverage, leading to elevated moisture levels and condensation due to poor air circulation and ventilation.",David_Bly_ME5.pdf
