cause,filename
inadequate ventilation and water ingress,David_Bly_BR1.pdf
inadequate ventilation and raised humidity levels,David_Bly_SS15.pdf
ineffective ventilation and poor insulation installation,David_Bly_ME1 (2).pdf
breaching of the installed DPC,David_Bly_SO31 (2).pdf
ineffective ventilation and fan control,David_Bly_CM3.pdf
elevated atmospheric moisture levels,David_Bly_DA11.pdf
plumbing issue causing significant moisture levels,David_Bly_CM9 (4).pdf
ineffective installed ventilation,David_Bly_PO3.pdf
rising damp from poor mortar joints and guttering,David_Bly_L19.pdf
inadequate ventilation during non-occupancy,David_Bly_NW6.pdf
inadequate ventilation in the bathroom,David_Bly_ME1.pdf
inadequate ventilation during high humidity,David_Bly_LU4 (3).pdf
inadequate ventilation and elevated humidity levels,David_Bly_NW7.pdf
elevated humidity and insufficient ventilation,David_Bly_SO16.pdf
elevated internal humidity and inadequate ventilation,David_Bly_ME2.pdf
persistent elevated atmospheric moisture levels,David_Bly_CM9 (3).pdf
rainwater ingress through defective exterior render,David_Bly_ME3.pdf
residual cavity wall insulation preventing ventilation,David_Bly_RH19.pdf
inadequate ventilation and raised humidity levels,David_Bly_ME2 (3).pdf
lack of adequate ventilation and moisture generation,David_Bly_ME2 (2).pdf
water ingress from flat roof defects,David_Bly_NG17.pdf
inadequate use of ventilation measures,David_Bly_SO50 (2).pdf
active condensation in rear area,David_Bly_SW6.pdf
inadequate ventilation and surface condensation,David_Bly_ME1 (4).pdf
ineffective ventilation and high humidity levels,David_Bly_CM9 (2).pdf
inadequate ventilation during elevated humidity,David_Bly_BN43.pdf
ineffective ventilation and high humidity levels,David_Bly_CR0.pdf
cooler wall temperatures causing mould development,David_Bly_RH20.pdf
taped ventilation diffusers affecting air circulation,David_Bly_EC1M.pdf
lack of adequate ventilation,David_Bly_LU4 (2).pdf
inadequate ventilation and raised humidity levels,David_Bly_ME4.pdf
inadequate ventilation and possible cavity wall insulation gaps,David_Bly_ME5.pdf
