property_type,wall_type,age,issue_type,orientation,ventilation,window_type,occupancy,drying_clothes,main_issue_location,secondary_issue_locations,filename,cause,analysis,heating_system
one-bedroom first floor flat,cavity,not mentioned,both,not mentioned,"unused working mechanical extraction unit in the kitchen, trickle vents",not mentioned,not mentioned,not mentioned,kitchen,bathroom,0419_BN18.pdf,"The reported mould growth is primarily due to ineffective ventilation, characterized by the lack of use of the mechanical extraction unit, closed windows, and trickle vents, combined with periods of elevated internal humidity levels. Additionally, the tenant's observation of ongoing ingress after rainfall suggests potential water intrusion issues that may also contribute to the damp conditions.","The reported mould issues in the property are primarily caused by inadequate ventilation, particularly in the bathroom where high humidity levels were recorded without mechanical extraction. Additionally, the presence of water ingress from above the kitchen units during heavy rainfall suggests potential structural issues that may contribute to moisture accumulation. The accumulation of furniture against external walls in the bedroom and lounge further exacerbates the risk of condensation due to warm air meeting cold surfaces.",Not mentioned
ground floor flat in a purpose-built block,cavity,not mentioned,mould,north west,"extractor fan in bathroom, passive vents in bedrooms, lounge, and kitchen",not mentioned,not mentioned,not mentioned,bedrooms,not mentioned,0566_HP5.pdf,"The main causes of the reported damp and mould issues are poor ventilation in critical areas such as the bathroom and kitchen, leading to inadequate moisture control, and localized condensation resulting from the cooler exterior walls of the bedrooms. Additionally, the operation of the tumble dryer, despite being vented, contributes to localized dampness due to its proximity and the transient nature of moisture release.","The reported mould activity in the property is primarily caused by elevated atmospheric moisture levels and inadequate ventilation, particularly in the kitchen and bathroom. The lack of sufficient forced ventilation in these areas, combined with cooler air and surface temperatures, contributes to high relative humidity, creating conditions conducive to mould growth. Additionally, the presence of hygroscopic materials that absorb moisture from the atmosphere further exacerbates the issue.",Not mentioned
end of terrace semi-detached 2 bedroom house,not mentioned,late 1970s,both,not mentioned,"one trickle vent in bathroom, passive vent in kitchen",uPVC,2 adults and 2 children,yes,"main bedroom, conservatory",hall,0203_PO9.pdf,"The reported issues are primarily due to a lack of adequate ventilation within the property, which prevents proper air circulation and moisture control. Additionally, the storage of contents against external walls restricts natural ventilation, exacerbating the problem.","The main causes of the reported damp and mould issues are poor ventilation, particularly in areas like the main bedroom and conservatory where contents are stored against external walls, restricting airflow. Additionally, high humidity levels, as indicated by the moisture survey, contribute to condensation, especially in the bathroom and conservatory. The lack of trickle vents in key areas further exacerbates the situation, preventing adequate air circulation and moisture control.",Gas central heating
self-contained flat,not mentioned,circa 2006,damp,south west,trickle vents with forced air ventilation,aluminium,not mentioned,not mentioned,south west corner,not mentioned,0186_NW2.pdf,"The main causes of the reported issues are poor insulation of the metal/aluminium construction leading to condensation, and inadequate ventilation due to some trickle vents being fastened closed and insufficient operation of forced air ventilation in the bathrooms, which contributes to localized moisture accumulation.","The main causes of the reported damp and mould issues are poor ventilation, particularly due to blocked forced ventilation and inactive trickle vents, leading to excessive moisture accumulation. Additionally, the presence of high moisture levels in the structural readings, especially in the south west corner, indicates ongoing moisture ingress and decay, exacerbated by the corrosion of metal components and potential structural deficiencies in the window and flooring areas.",Gas central heating
three-bedroomed semi-detached house,cavity,not mentioned,both,not mentioned,"trickle vents to all windows, mechanical extraction units in bathroom and kitchen",uPVC,not mentioned,yes,"bedroom windows, lounge","bathroom, kitchen",0681_LU4.pdf,"The reported issues are primarily caused by inadequate ventilation, particularly due to malfunctioning mechanical extraction units in the bathroom and kitchen, which fail to effectively remove moisture. Additionally, elevated internal humidity levels from activities such as drying clothes indoors, combined with colder structural areas leading to condensation, contribute to the mould activity observed. Insufficient and uneven loft insulation further exacerbates the problem by allowing colder surfaces that promote condensation.","The main causes of the reported damp and mould issues in the property are inadequate ventilation, particularly in the bathroom and kitchen, leading to elevated humidity levels. Additionally, the presence of cold bridging and insufficient insulation contributes to condensation on external walls, while activities such as drying clothes indoors further increase moisture levels. The malfunctioning mechanical extraction units exacerbate these conditions, preventing proper air circulation and moisture control.",Gas central heating
flat,cavity,1920 – 1950,mould,north east,"working mechanical extraction units in the wet room and kitchen, passive trickle vents",not mentioned,not mentioned,yes,"lounge, bedroom",not mentioned,0691_LU4.pdf,"The reported issues are primarily due to periods of raised internal humidity levels caused by frequent washing and inadequate drying methods, combined with underperforming mechanical extraction units and a general lack of effective ventilation, despite the presence of passive trickle vents.","The main causes of the reported damp and mould issues in the flat are inadequate ventilation and poor air circulation, particularly in areas where contents are placed against external walls. The mechanical extraction units in the wet room and kitchen are not functioning effectively, contributing to elevated humidity levels. Additionally, the presence of cavity insulation may be trapping moisture within the walls, exacerbating the mould growth.",Gas central heating
one bedroom ground floor flat,cavity,not mentioned,mould,not mentioned,"mechanical extraction unit in the kitchen, trickle vents on windows",not mentioned,not mentioned,no,"lounge, bedroom",not mentioned,0934_SO53.pdf,"Insufficient ventilation during periods of elevated internal humidity levels, combined with contents placed in front of external wall surfaces, are the likely causes of the mould issues reported. The lack of a bathroom extraction unit and the practice of closing windows for security contribute to poor air circulation, which can lead to condensation and mould growth.","The reported damp and mould issues are primarily caused by inadequate ventilation, leading to elevated indoor humidity levels, particularly in the kitchen and bathroom. The lack of effective mechanical extraction in these areas contributes to moisture accumulation, while the presence of furniture against external walls exacerbates the problem by restricting airflow and creating conditions conducive to mould growth. Additionally, the high relative humidity levels observed in various rooms indicate that moisture levels are consistently above the threshold necessary for mould proliferation.",Not mentioned
1-bedroomed ground floor flat,cavity,not mentioned,mould,not mentioned,no extraction units or trickle vents,not mentioned,not mentioned,not mentioned,kitchen,dining room,0935_SO53.pdf,"The reported issues of damp and mould are primarily caused by inadequate ventilation, as there are no extraction units or trickle vents installed, leading to the accumulation of moist internal air. Additionally, the placement of contents against external walls restricts air circulation, allowing warm moist air to condense on colder surfaces. Persistent elevated humidity levels from occupational activities further exacerbate these conditions, contributing to mould growth.","The reported mould issues in the property are primarily caused by inadequate ventilation and elevated internal humidity levels. This combination leads to condensation on windows and surfaces, creating an environment conducive to mould growth. Additionally, the presence of furniture against external walls further restricts air circulation, exacerbating the moisture retention and mould proliferation.",Not mentioned
ground floor one bedroom flat,cavity,not mentioned,both,not mentioned,"trickle vents, passive vents",not mentioned,not mentioned,yes,lounge,kitchen,0038_LU3.pdf,"The reported dampness and mould issues are primarily caused by poor ventilation and inadequate heating within the flat, exacerbated by the tenant's practice of drying clothes indoors, which increases moisture levels. Additionally, external defects such as issues with the balcony and brickwork may allow water ingress, further contributing to the damp conditions.","The reported damp and mould issues in the property are primarily caused by poor ventilation and inadequate drainage, leading to condensation and moisture accumulation. The presence of defects in the external brickwork allows for weather ingress, which contributes to elevated moisture levels within the walls. Additionally, localized cold spots in the lounge and kitchen, combined with the lack of effective drainage from the balcony above, exacerbate the condensation problem, resulting in mould growth.",Not mentioned
three bedroom semi-detached,cavity,1950s,mould,not mentioned,kitchen extraction unit and bathroom extraction unit,uPVC,1 adult and 2 children,yes,bathroom,not mentioned,0937_SP10.pdf,"The main causes of the reported damp and mould issues are inadequate ventilation due to the absence of trickle vents in the windows and insufficient airflow from the kitchen extraction unit, which is not effectively removing moisture generated from daily activities such as washing and cooking.","The main causes of the reported mould issues in the bathroom are insufficient ventilation and inadequate performance of the extraction unit, which is not effectively removing moisture-laden air. The low airflow rate of the extraction system, combined with high humidity levels in the bathroom, contributes to the conditions conducive to mould growth.",Gas central heating
top floor 3 bedroom maisonette,not mentioned,1960s,mould,not mentioned,trickle vents and extractors,uPVC,2 adults and 3 children,yes,bedroom 1,bedroom 2,0936_SP10.pdf,"The main causes of the reported damp and mould issues are inadequate ventilation and high moisture levels from internal activities, such as drying clothes indoors. The existing extraction units are insufficiently effective, particularly in the kitchen, where the airflow does not meet the recommended standards, leading to condensation and subsequent mould growth.","The main causes of the reported damp and mould issues in the property are inadequate ventilation and high atmospheric moisture levels. The presence of drying clothes indoors contributes to elevated humidity, while the ineffective kitchen extraction system fails to adequately remove moisture generated during cooking. Additionally, the reliance on trickle vents and window ventilation without proper maintenance further exacerbates the condensation problem, leading to mould growth on external walls.",Gas central heating
large semi-detached dwelling,cavity,not mentioned,mould,south,breather characteristics of the ‘Tyvek’ membrane,not mentioned,not mentioned,not mentioned,loft area,not mentioned,0861_RG7.pdf,"The main causes of the reported mould issues are raised atmospheric moisture levels combined with cold surfaces, which create conditions conducive to mould growth. Additionally, inadequate ventilation in the loft area, particularly during colder weather, exacerbates high relative humidity levels, further promoting mould activity.","The main causes of the reported damp and mould issues in the loft area are inadequate ventilation, particularly due to the reliance on the breather characteristics of the Tyvek membrane, which can be compromised during cold external temperatures. Additionally, the elevated relative humidity levels adjacent to cooler surfaces in the roof structure, combined with the presence of vent pipes that may allow damp air to enter the loft, contribute to conditions conducive to mould growth. The lack of designed ventilation points further exacerbates the situation, leading to moisture accumulation and supporting mould activity.",Not mentioned
two-bedroomed end of terrace house,cavity,not mentioned,both,not mentioned,"trickle vents to all windows, mechanical extraction units in bathroom and kitchen",not mentioned,not mentioned,yes,"Bedroom 1, Bedroom 2","bathroom, area by back door",0620_LU2.pdf,"The reported issues are primarily due to inadequate ventilation, as evidenced by blocked trickle vents and poorly functioning mechanical extraction units, combined with elevated internal humidity levels from a wet occupancy. Additionally, the improper insulation in the loft space contributes to the conditions that promote surface condensation and mould development.","The main causes of the reported damp and mould issues in the property are inadequate ventilation and elevated internal humidity levels. The presence of mould in various areas, including the bathroom and bedrooms, is exacerbated by poor airflow, particularly with the bathroom extractor fan being ineffective and the bathroom door not closing properly. Additionally, activities such as drying clothes indoors contribute to increased moisture levels, while cold bridging in the bedrooms leads to condensation on surfaces, further promoting mould growth.",Gas central heating
lower ground floor flat in an end of terrace town house,solid,late 1800s,mould,not mentioned,"extractor fans in bathroom and kitchen, passive vents",uPVC,not mentioned,not mentioned,"bedroom, bathroom",kitchen,0951_SW6.pdf,"The main causes of the reported damp and mould issues are high atmospheric moisture levels combined with inadequate forced ventilation in critical areas such as the bathroom and kitchen, leading to conditions conducive to mould growth.","The reported damp and mould issues in the property are primarily caused by inadequate ventilation, particularly in moisture-producing areas like the kitchen and bathroom, leading to high relative humidity levels. Additionally, the absence of effective damp proofing measures, such as a damp proof membrane in the concrete floor and damp proof courses in the walls, contributes to moisture migration from the ground and exacerbates the mould growth. The combination of these factors creates an environment conducive to mould proliferation.",Not mentioned
mid terrace brick built building,cavity,circa 1970,both,not mentioned,not mentioned,uPVC,not mentioned,not mentioned,kitchen,not mentioned,0630_LU2.pdf,"The main causes of the reported damp and mould issues are poor external drainage due to blocked guttering, which prevents rainwater from dispersing properly, and inadequate pointing in the mortar joints that allows moisture to penetrate the brickwork. Additionally, a broken collar on the cast downpipe contributes to water ingress, while wet loose fibre insulation within the wall exacerbates the saturation of the inner leaf.","The main causes of the damp and mould issues in the kitchen are likely due to water ingress from a broken collar on the rainwater downpipe, which allows moisture to permeate through the brickwork, and poor mortar joints that further facilitate this moisture penetration. Additionally, the presence of wet cavity insulation indicates that moisture is accumulating within the cavity walls, exacerbating the saturation of the internal wall.",Gas central heating
three-bedroom end of terrace house,cavity,circa 1950s,both,not mentioned,"extractors, trickle vents",uPVC,2 adults and 5 children,no,lounge,not mentioned,0104_BN18.pdf,"The reported issues are primarily due to inadequate ventilation within the property, compounded by low-performing extraction units that fail to meet recommended flow rates. Additionally, the presence of cold spots on external walls, likely caused by insufficient insulation in the loft, contributes to condensation and mould growth, particularly at wall/ceiling junctions.","The reported damp and mould issues are primarily caused by inadequate ventilation and high relative humidity levels within the property, which exceed 60%, creating conditions conducive to mould growth. Additionally, the presence of blocked guttering has contributed to moisture ingress through the external walls, while poor insulation in the loft and contents stored against colder exterior walls further restrict airflow and create cold spots, exacerbating the mould problem.",Not mentioned
1-bedroom ground floor flat,cavity,2019,mould,not mentioned,continuous mechanical extract ventilation with boost functions,uPVC,not mentioned,not mentioned,bathroom,lounge,0375_BH24.pdf,"The primary causes of the reported damp and mould issues are inadequate ventilation and high atmospheric moisture levels due to occupational activities. The installed mechanical ventilation system is not functioning effectively, as it fails to meet the required airflow rates, leading to insufficient removal of moisture from the kitchen and bathroom. Additionally, the lack of proper make-up air flow and the inability to dry laundry outside further exacerbate the humidity levels within the property.","The main causes of the reported damp and mould issues in the property are inadequate ventilation and high atmospheric moisture levels driven by occupational activities. The installed ventilation system is not functioning effectively, with insufficient airflow rates in the kitchen and bathroom, leading to elevated humidity levels that promote mould growth. Additionally, the lack of provisions for drying laundry outside exacerbates the moisture problem, while the presence of closed trickle vents limits the necessary airflow for proper ventilation.",Gas central heating
one-bedroomed ground floor flat,cavity,not mentioned,mould,not mentioned,"trickle vents to all windows, mechanical extraction units in kitchen and wet room",uPVC,not mentioned,not mentioned,bedroom,kitchen,0594_LU1.pdf,"The reported issues are primarily caused by inadequate ventilation due to closed trickle vents and a poorly performing kitchen mechanical extraction unit, combined with elevated internal humidity levels from a 'moist' occupancy. These factors create conditions conducive to minor outbreaks of mould, despite the structure being dry.","The main causes of the reported damp and mould issues in the property are inadequate ventilation and elevated humidity levels. The mechanical extraction units in the kitchen and wet room are not functioning effectively, leading to moisture accumulation. Additionally, the internal relative humidity consistently exceeds 60%, creating conditions conducive to mould growth, particularly in areas with poor air circulation such as window reveals and corners.",Gas central heating
Tudor style two-bedroom semi-detached dwelling,timber,1600s,mould,not mentioned,well ventilated,not mentioned,not mentioned,not mentioned,lounge,not mentioned,0886_SG6.pdf,"The main causes of the reported damp issues are the elevated moisture levels due to the external paved area being higher than the internal floor finish, which allows rainwater to penetrate the brick platform and affect the inner finish. Additionally, the construction type and age of the property contribute to the moisture retention in certain areas, particularly around the chimney and lower brick support.","The reported damp and mould issues in the lounge are primarily caused by poor drainage and high external ground levels, which lead to excessive moisture against the internal walls. Additionally, the blocked redundant vent may contribute to inadequate ventilation, although the property was noted to be well-ventilated at the time of the survey. The combination of these factors creates conditions conducive to dampness and mould growth.",Not mentioned
brick built two bedroom fourth floor flat,solid,not mentioned,mould,not mentioned,three passive vents,uPVC,not mentioned,yes,bedrooms,"kitchen, hall",0584_LU1.pdf,"The main causes of the reported mould issues are inadequate ventilation due to the absence of mechanical extraction units and the blocking of passive vents, combined with elevated internal humidity levels from drying clothes indoors and the placement of furniture against cooler exterior walls, which creates conditions conducive to mould growth.","The reported issues of damp and mould in the flat are primarily caused by inadequate ventilation, particularly in the kitchen where a passive vent was taped over, leading to increased internal moisture levels. Additionally, the presence of furniture against external walls in both bedrooms restricts airflow and contributes to cold spots, which can foster mould growth. The drying of towels on radiators further elevates humidity levels within the flat, creating conditions conducive to mould development.",Not mentioned
1950’s two-bedroom ground floor flat,solid,1950s,both,not mentioned,trickle vents and passive vents,not mentioned,not mentioned,not mentioned,wet room,kitchen,0960_TA6.pdf,"The reported issues are primarily caused by high atmospheric moisture levels and periods of condensation, exacerbated by the installation of external cladding that has reduced passive ventilation. Additionally, the lack of forced ventilation in critical areas such as the wet room and kitchen contributes to inadequate air circulation, further promoting damp conditions.","The main causes of the reported damp and mould issues in the property are poor ventilation due to blocked and ineffective passive vents, which restrict airflow and contribute to elevated humidity levels. Additionally, the presence of a liquid applied membrane under the carpet may be preventing moisture from evaporating, further exacerbating the damp conditions. The combination of these factors creates an environment conducive to mould growth, particularly in areas with high moisture levels and inadequate air circulation.",Gas central heating
flat,cavity,1965 – 1990,mould,west,mechanical extraction units in the kitchen and wet room plus trickle vents to the windows,not mentioned,4 family members,not mentioned,wet room,hallway,0606_LU1.pdf,"The reported issues are primarily caused by inadequate ventilation, as evidenced by the tenant's lack of understanding of the kitchen extraction unit and the underperformance of the mechanical extraction units. Additionally, elevated humidity levels due to a blocked drain and pooling water contribute to the conditions that sustain mould growth, alongside the presence of condensation on wall surfaces.","The reported issues of mould and condensation in the property are primarily caused by inadequate ventilation, particularly in areas with high moisture generation such as the kitchen and bathroom. The recent increase in occupancy, with four additional family members, has likely exacerbated the moisture levels, leading to elevated humidity and condensation. Additionally, a drainage issue in the wet room is contributing to water pooling, further promoting damp conditions conducive to mould growth.",Gas central heating
ground floor maisonette,cavity,not mentioned,mould,not mentioned,passive ventilation with trickle vents and wall mounted extractor units,uPVC,not mentioned,not mentioned,lounge,toilet,0710_ME2.pdf,"The main causes of the reported damp and mould issues are inadequate ventilation in key areas such as the kitchen and bathroom, leading to elevated atmospheric moisture levels, and the ineffective performance of the installed ventilation systems, which fail to meet the required whole property ventilation rate as per building regulations.","The main causes of the reported damp and mould issues in the property are inadequate ventilation and previous water ingress from the upper maisonette. The presence of retrofit cavity wall insulation may also contribute to moisture retention, while the closed trickle vents and ineffective extractor fans limit air circulation, leading to elevated humidity levels that support mould growth.",Gas central heating
one bed first floor dwelling,solid,1970s,mould,not mentioned,trickle vents,uPVC,1 retired adult,no,kitchen,"lounge, bedroom",0306_BH12.pdf,"The main causes of the reported damp and mould issues include poor ventilation due to closed trickle vents and the absence of an extraction unit in the kitchen, which can lead to increased humidity and condensation. Additionally, the placement of contents against external walls restricts air flow, further exacerbating the potential for mould growth. There is also a possibility of water ingress from external sources, which may contribute to the high moisture readings observed.","The reported mould growth is primarily caused by inadequate ventilation, particularly in the kitchen where high humidity levels (63.7% RH) were recorded, leading to condensation. Additionally, the presence of stored items against external walls obstructs airflow, exacerbating moisture retention. The recent high winds and rainfall may have contributed to increased moisture ingress through the external brickwork, further compounding the damp conditions within the property.",Gas central heating
ground floor flat,cavity,not mentioned,both,not mentioned,extractor fans in kitchen and bathroom,not mentioned,not mentioned,not mentioned,bedroom,"study, lounge/kitchen",0157_LE7.pdf,"The reported damp and mould issues are primarily caused by inadequate moisture control and ventilation. The lack of a proper damp proof course (DPC) and the presence of slabs above the DPC allow rainwater to penetrate the wall, while insufficiently operated extractor fans in the kitchen and bathroom lead to increased internal humidity. Additionally, the stuck blow back flap on the bathroom fan exacerbates moisture retention, contributing to conditions favorable for mould growth.","The main causes of the reported damp and mould issues include poor ventilation, particularly in the bathroom where the extractor fan is ineffective, leading to high humidity levels. Additionally, moisture ingress from external sources is suggested by missing mortar at the top edge of the slab, which may allow water to penetrate the wall structure. The presence of moisture beneath the laminate flooring in the bathroom, combined with inadequate sealing around the bath panel, further contributes to the damp conditions.",Not mentioned
semi-detached,cavity,1990 - present,mould,east,"mechanical extraction units in kitchen, WC, and bathroom; trickle vents open",not mentioned,not mentioned,yes,bedroom 1,"bathroom, lounge",0019_EX14.pdf,"The reported issues of damp and mould are primarily caused by elevated humidity levels due to activities such as drying clothes indoors and inadequate ventilation, particularly from insufficient air circulation and ineffective extraction from wet rooms. Additionally, the lack of external venting for the cooker hood contributes to moisture retention within the property.","The main causes of the reported damp and mould issues in the property are inadequate ventilation and high internal humidity levels. The presence of mould in various rooms, particularly in areas with poor airflow such as bedrooms and the bathroom, indicates that moisture is not being effectively expelled from the living spaces. Additionally, the use of extractor fans that are not consistently operated, along with the potential for condensation due to temperature differences on surfaces, further exacerbates the problem.",Gas central heating
flat,cavity,1965 – 1990,mould,west,"mechanical extraction unit in bathroom, passive trickle vents in poor state of repair",uPVC,not mentioned,not mentioned,"lounge, kitchen","bedroom, bathroom",0046_ME1.pdf,"The reported issues of mould and dampness are primarily caused by inadequate ventilation, particularly the absence of a mechanical extraction unit in the kitchen and the non-compliance of the bathroom unit with building regulations. Additionally, the passive trickle vents are closed and in poor repair, preventing proper air circulation. These factors, combined with elevated internal humidity levels from everyday activities, lead to condensation and subsequent mould growth on surfaces and contents.","The primary causes of the reported damp and mould issues in the flat are inadequate ventilation and high atmospheric moisture levels. The closed trickle vents and non-compliant bathroom extraction unit contribute to poor air circulation, leading to elevated humidity and condensation, particularly around window reveals. Additionally, the lack of proper ventilation in moisture-producing areas such as the kitchen and bathroom exacerbates the situation, allowing mould to thrive on various surfaces.",Gas central heating
